"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "HTML", "XML", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\finance.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\force-password-change.tsx", "TypeScript JSX", 0, 128, 0, 0, 0, 0, 0, 0, 3, 16, 147
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\forgot-password.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 0, 0, 0, 2, 14, 189
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\fulfillment-shipment-detail.tsx", "TypeScript JSX", 0, 665, 0, 0, 0, 0, 0, 0, 0, 54, 719
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\fulfillment.tsx", "TypeScript JSX", 0, 433, 0, 0, 0, 0, 0, 0, 0, 37, 470
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\home.tsx", "TypeScript JSX", 0, 315, 0, 0, 0, 0, 0, 0, 6, 22, 343
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\inbound-orders.tsx", "TypeScript JSX", 0, 2862, 0, 0, 0, 0, 0, 0, 0, 220, 3082
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\internal-quotes.tsx", "TypeScript JSX", 0, 1458, 0, 0, 0, 0, 0, 0, 43, 126, 1627
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\invoice-detail.tsx", "TypeScript JSX", 0, 2275, 0, 0, 0, 0, 0, 0, 19, 197, 2491
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\invoices.tsx", "TypeScript JSX", 0, 239, 0, 0, 0, 0, 0, 0, 4, 19, 262
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\job-detail.tsx", "TypeScript JSX", 0, 254, 0, 0, 0, 0, 0, 0, 15, 20, 289
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\labels.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\landing.tsx", "TypeScript JSX", 0, 437, 0, 0, 0, 0, 0, 0, 0, 36, 473
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\login.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 5, 18, 208
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\material-detail.tsx", "TypeScript JSX", 0, 165, 0, 0, 0, 0, 0, 0, 3, 10, 178
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\materials.tsx", "TypeScript JSX", 0, 379, 0, 0, 0, 0, 0, 0, 3, 35, 417
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\not-found.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\order-detail.tsx", "TypeScript JSX", 0, 3301, 0, 0, 0, 0, 0, 0, 121, 263, 3685
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\order-new.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 6, 2, 12
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\order-traveler.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 0, 0, 0, 16, 17, 215
