"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "HTML", "XML", "PostCSS", "Markdown", "JavaScript", "YAML", "Log", "JSON with Comments", "Ini", "PowerShell", "MS SQL", "Dotenv", "comment", "blank", "total"
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\list\ListViewSettings.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 105
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\marketing\MarketingDashboardMockup.tsx", "TypeScript JSX", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 141
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\marketing\MarketingFooter.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\marketing\MarketingHeader.tsx", "TypeScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 100
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\marketing\MarketingMeta.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\media-picker.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 154
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\media\PdfViewer.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 67
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\note-form.tsx", "TypeScript JSX", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 205
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\object-uploader.tsx", "TypeScript JSX", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 239
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\order-form-OLD-BACKUP.tsx", "TypeScript JSX", 0, 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37, 499
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\order-form.tsx", "TypeScript JSX", 0, 1168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 88, 1301
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\order-line-item-dialog.tsx", "TypeScript JSX", 0, 1023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 80, 1148
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\order-status-badge.tsx", "TypeScript JSX", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 158
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\orders\ManualReservationsCard.tsx", "TypeScript JSX", 0, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 351
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\orders\OrderFulfillmentPanel.tsx", "TypeScript JSX", 0, 620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 48, 684
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\orders\OrderLineItemsSection.tsx", "TypeScript JSX", 0, 2988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 288, 3377
